cloudcover,conditions,datetime,dew,feelslike,humidity,name,precip,precipprob,sealevelpressure,stations,temp,visibility,winddir,windspeed,holiday_proximity,AAC_energy
NaN,"Clear",2023-02-15T00:00:00,2.2,5.8,72.92,"41.829742371733346, 12.468582121891949",0,0,1030,"16242099999,16239099999,16224099999,LIRA",6.7,10,169,5.6,0,95.9836
NaN,"Clear",2023-02-15T00:30:00,2.2,5.8,72.92,"41.829742371733346, 12.468582121891949",0,0,1030,"16242099999,16239099999,16224099999,LIRA",6.7,10,169,5.6,0,91.5387
0,"Clear",2023-02-15T01:00:00,2.2,5.8,77.69,"41.829742371733346, 12.468582121891949",0,0,1030,"16242099999,16239099999,16224099999,LIRA",5.8,9.8,64,2.3,0,58.5387
0,"Clear",2023-02-15T01:30:00,2.2,5.8,77.69,"41.829742371733346, 12.468582121891949",0,0,1030,"16242099999,16239099999,16224099999,LIRA",5.8,9.8,64,2.3,0,29.9836
0,"Clear",2023-02-15T02:00:00,0.3,3.9,77.53,"41.829742371733346, 12.468582121891949",0,0,1029,"16242099999,16239099999,16224099999,LIRA",3.9,9.8,85,3.7,0,7.98359999999999
0,"Clear",2023-02-15T02:30:00,0.3,3.9,77.53,"41.829742371733346, 12.468582121891949",0,0,1029,"16242099999,16239099999,16224099999,LIRA",3.9,9.8,85,3.7,0,0
0,"Clear",2023-02-15T03:00:00,2.2,4.1,87.96,"41.829742371733346, 12.468582121891949",0,0,1029.1,"16245099999,16242099999,16239099999,16224099999,LIRA",4.1,9.9,40,4,0,0
0,"Clear",2023-02-15T03:30:00,2.2,4.1,87.96,"41.829742371733346, 12.468582121891949",0,0,1029.1,"16245099999,16242099999,16239099999,16224099999,LIRA",4.1,9.9,40,4,0,1.65940000000001
NaN,"Clear",2023-02-15T04:00:00,1.6,1.1,92.62,"41.829742371733346, 12.468582121891949",0,0,1029.1,"16245099999,16242099999,16239099999,16224099999",2.6,10,44,5.9,0,0
NaN,"Clear",2023-02-15T04:30:00,1.6,1.1,92.62,"41.829742371733346, 12.468582121891949",0,0,1029.1,"16245099999,16242099999,16239099999,16224099999",2.6,10,44,5.9,0,0
NaN,"Clear",2023-02-15T05:00:00,0.2,0.3,88.04,"41.829742371733346, 12.468582121891949",0,0,1029,"16242099999,16239099999,16224099999,LIRA",2,10,43,6,0,0
NaN,"Clear",2023-02-15T05:30:00,0.2,0.3,88.04,"41.829742371733346, 12.468582121891949",0,0,1029,"16242099999,16239099999,16224099999,LIRA",2,10,43,6,0,0
NaN,"Clear",2023-02-15T06:00:00,0.1,0.5,87.7,"41.829742371733346, 12.468582121891949",0,0,1028.1,"16242099999,16239099999,16224099999,LIRA",2,10,52,5.4,0,16.0107
NaN,"Clear",2023-02-15T06:30:00,0.1,0.5,87.7,"41.829742371733346, 12.468582121891949",0,0,1028.1,"16242099999,16239099999,16224099999,LIRA",2,10,52,5.4,0,50.5388
NaN,"Clear",2023-02-15T07:00:00,0.8,2.4,88.84,"41.829742371733346, 12.468582121891949",0,0,1029,"16242099999,16239099999,AT416,16224099999,16234099999",2.4,10,74,4.5,0,216.4701
NaN,"Clear",2023-02-15T07:30:00,0.8,2.4,88.84,"41.829742371733346, 12.468582121891949",0,0,1029,"16242099999,16239099999,AT416,16224099999,16234099999",2.4,10,74,4.5,0,334.4713
NaN,"Clear",2023-02-15T08:00:00,0.4,0.3,86.33,"41.829742371733346, 12.468582121891949",0,0,1029.1,"16242099999,16239099999,AT416,16224099999,16234099999",2.4,10,62,7.5,0,550.369
NaN,"Clear",2023-02-15T08:30:00,0.4,0.3,86.33,"41.829742371733346, 12.468582121891949",0,0,1029.1,"16242099999,16239099999,AT416,16224099999,16234099999",2.4,10,62,7.5,0,493.2225
NaN,"Clear",2023-02-15T09:00:00,1,2.3,79.09,"41.829742371733346, 12.468582121891949",0,0,1029.1,"16242099999,16239099999,AT416,16224099999,16234099999",4.3,10,52,8.1,0,505.6671
NaN,"Clear",2023-02-15T09:30:00,1,2.3,79.09,"41.829742371733346, 12.468582121891949",0,0,1029.1,"16242099999,16239099999,AT416,16224099999,16234099999",4.3,10,52,8.1,0,605.1406
NaN,"Clear",2023-02-15T10:00:00,2.6,6.4,70.47,"41.829742371733346, 12.468582121891949",0,0,1029.3,"16242099999,16239099999,AT416,16224099999,16234099999",7.6,10,39,7.2,0,484.0792
NaN,"Clear",2023-02-15T10:30:00,2.6,6.4,70.47,"41.829742371733346, 12.468582121891949",0,0,1029.3,"16242099999,16239099999,AT416,16224099999,16234099999",7.6,10,39,7.2,0,399.1254
NaN,"Clear",2023-02-15T11:00:00,2.6,10.7,57.46,"41.829742371733346, 12.468582121891949",0,0,1029.9,"16242099999,16239099999,AT416,16224099999,16234099999",10.7,10,116,4.7,0,370.2414
NaN,"Clear",2023-02-15T11:30:00,2.6,10.7,57.46,"41.829742371733346, 12.468582121891949",0,0,1029.9,"16242099999,16239099999,AT416,16224099999,16234099999",10.7,10,116,4.7,0,320.9753
NaN,"Clear",2023-02-15T12:00:00,3.1,14,47.71,"41.829742371733346, 12.468582121891949",0,0,1029.3,"16242099999,16239099999,AT416,16224099999,16234099999",14,10,170,2.4,0,339.2708
NaN,"Clear",2023-02-15T12:30:00,3.1,14,47.71,"41.829742371733346, 12.468582121891949",0,0,1029.3,"16242099999,16239099999,AT416,16224099999,16234099999",14,10,170,2.4,0,373.281
NaN,"Clear",2023-02-15T13:00:00,4.2,15.2,47.55,"41.829742371733346, 12.468582121891949",0,0,1029,"16242099999,16239099999,AT416,16224099999,16234099999",15.2,10,264,6.5,0,418.6503
NaN,"Clear",2023-02-15T13:30:00,4.2,15.2,47.55,"41.829742371733346, 12.468582121891949",0,0,1029,"16242099999,16239099999,AT416,16224099999,16234099999",15.2,10,264,6.5,0,445.8511
NaN,"Clear",2023-02-15T14:00:00,6.5,15.9,53.62,"41.829742371733346, 12.468582121891949",0,0,1028.9,"16242099999,16239099999,AT416,16224099999,16234099999",15.9,10,253,8.5,0,372.1415
NaN,"Clear",2023-02-15T14:30:00,6.5,15.9,53.62,"41.829742371733346, 12.468582121891949",0,0,1028.9,"16242099999,16239099999,AT416,16224099999,16234099999",15.9,10,253,8.5,0,414.067
NaN,"Clear",2023-02-15T15:00:00,6.4,16.3,51.82,"41.829742371733346, 12.468582121891949",0,0,1028,"16242099999,16239099999,AT416,16224099999,16234099999",16.3,10,257,10,0,284.6708
NaN,"Clear",2023-02-15T15:30:00,6.4,16.3,51.82,"41.829742371733346, 12.468582121891949",0,0,1028,"16242099999,16239099999,AT416,16224099999,16234099999",16.3,10,257,10,0,174.0577
NaN,"Clear",2023-02-15T16:00:00,7.4,16.3,55.48,"41.829742371733346, 12.468582121891949",0,0,1028,"16242099999,16239099999,AT416,16224099999,16234099999",16.3,10,244,8.7,0,91.5773
NaN,"Clear",2023-02-15T16:30:00,7.4,16.3,55.48,"41.829742371733346, 12.468582121891949",0,0,1028,"16242099999,16239099999,AT416,16224099999,16234099999",16.3,10,244,8.7,0,236.8541
NaN,"Clear",2023-02-15T17:00:00,7.4,14.7,61.95,"41.829742371733346, 12.468582121891949",0,0,1028.2,"16242099999,16239099999,AT416,16224099999,16234099999",14.7,10,234,10.3,0,197.4018
NaN,"Clear",2023-02-15T17:30:00,7.4,14.7,61.95,"41.829742371733346, 12.468582121891949",0,0,1028.2,"16242099999,16239099999,AT416,16224099999,16234099999",14.7,10,234,10.3,0,298.832
NaN,"Clear",2023-02-15T18:00:00,6.1,12.1,66.67,"41.829742371733346, 12.468582121891949",0,0,1028.9,"E2310,16242099999,16239099999,16224099999,16234099999",12.1,10,242,8.3,0,211.4029
NaN,"Clear",2023-02-15T18:30:00,6.1,12.1,66.67,"41.829742371733346, 12.468582121891949",0,0,1028.9,"E2310,16242099999,16239099999,16224099999,16234099999",12.1,10,242,8.3,0,216.2235
NaN,"Clear",2023-02-15T19:00:00,6.3,10.1,77.63,"41.829742371733346, 12.468582121891949",0,0,1029.1,"16242099999,16239099999,16224099999,16234099999",10.1,10,223,5.4,0,171.5034
NaN,"Clear",2023-02-15T19:30:00,6.3,10.1,77.63,"41.829742371733346, 12.468582121891949",0,0,1029.1,"16242099999,16239099999,16224099999,16234099999",10.1,10,223,5.4,0,153.1698
NaN,"Clear",2023-02-15T20:00:00,6.9,8.4,87.23,"41.829742371733346, 12.468582121891949",0,0,1030,"16242099999,16239099999,16224099999,LIRA",8.9,10,152,5.4,0,112.595
NaN,"Clear",2023-02-15T20:30:00,6.9,8.4,87.23,"41.829742371733346, 12.468582121891949",0,0,1030,"16242099999,16239099999,16224099999,LIRA",8.9,10,152,5.4,0,112.1223
0,"Clear",2023-02-15T21:00:00,5.9,7.3,82.69,"41.829742371733346, 12.468582121891949",0,0,1030,"16242099999,16239099999,16224099999,LIRA",8.7,7.3,119,8.6,0,106.8373
