cloudcover,conditions,datetime,dew,feelslike,humidity,name,precip,precipprob,sealevelpressure,stations,temp,visibility,winddir,windspeed,holiday_indicator,AAC_energy,time_vector
NaN,"Clear",2023-02-15T00:00:00,2.2,5.8,72.92,"41.829742371733346, 12.468582121891949",0,0,1030,"16242099999,16239099999,16224099999,LIRA",6.7,10,169,5.6,0,83.8026,15-Feb-2023 00:00:00
NaN,"Clear",2023-02-15T00:30:00,2.2,5.8,72.92,"41.829742371733346, 12.468582121891949",0,0,1030,"16242099999,16239099999,16224099999,LIRA",6.7,10,169,5.6,0,50.8026,15-Feb-2023 00:30:00
0,"Clear",2023-02-15T01:00:00,2.2,5.8,77.69,"41.829742371733346, 12.468582121891949",0,0,1030,"16242099999,16239099999,16224099999,LIRA",5.8,9.8,64,2.3,0,122.0708,15-Feb-2023 01:00:00
0,"Clear",2023-02-15T01:30:00,2.2,5.8,77.69,"41.829742371733346, 12.468582121891949",0,0,1030,"16242099999,16239099999,16224099999,LIRA",5.8,9.8,64,2.3,0,103.724,15-Feb-2023 01:30:00
0,"Clear",2023-02-15T02:00:00,0.3,3.9,77.53,"41.829742371733346, 12.468582121891949",0,0,1029,"16242099999,16239099999,16224099999,LIRA",3.9,9.8,85,3.7,0,91.5849,15-Feb-2023 02:00:00
0,"Clear",2023-02-15T02:30:00,0.3,3.9,77.53,"41.829742371733346, 12.468582121891949",0,0,1029,"16242099999,16239099999,16224099999,LIRA",3.9,9.8,85,3.7,0,37.6805,15-Feb-2023 02:30:00
0,"Clear",2023-02-15T03:00:00,2.2,4.1,87.96,"41.829742371733346, 12.468582121891949",0,0,1029.1,"16245099999,16242099999,16239099999,16224099999,LIRA",4.1,9.9,40,4,0,26.6805,15-Feb-2023 03:00:00
0,"Clear",2023-02-15T03:30:00,2.2,4.1,87.96,"41.829742371733346, 12.468582121891949",0,0,1029.1,"16245099999,16242099999,16239099999,16224099999,LIRA",4.1,9.9,40,4,0,15.6805,15-Feb-2023 03:30:00
NaN,"Clear",2023-02-15T04:00:00,1.6,1.1,92.62,"41.829742371733346, 12.468582121891949",0,0,1029.1,"16245099999,16242099999,16239099999,16224099999",2.6,10,44,5.9,0,4.68049999999999,15-Feb-2023 04:00:00
NaN,"Clear",2023-02-15T04:30:00,1.6,1.1,92.62,"41.829742371733346, 12.468582121891949",0,0,1029.1,"16245099999,16242099999,16239099999,16224099999",2.6,10,44,5.9,0,18.2987,15-Feb-2023 04:30:00
NaN,"Clear",2023-02-15T05:00:00,0.2,0.3,88.04,"41.829742371733346, 12.468582121891949",0,0,1029,"16242099999,16239099999,16224099999,LIRA",2,10,43,6,0,7.2987,15-Feb-2023 05:00:00
